Survived,Sex,SibSp,Parch,Ticket,Age,Fare
0,1,1,0,467,22.0,7.25
1,0,0,0,587,26.0,7.925
1,0,1,0,34,35.0,53.1
0,1,0,0,419,35.0,8.05
0,1,0,0,234,29.69911764705882,8.4583
0,1,0,0,57,54.0,51.8625
1,0,0,2,299,27.0,11.1333
1,0,1,0,96,14.0,30.0708
1,0,1,1,536,4.0,16.7
0,1,0,0,479,20.0,8.05
0,1,1,5,288,39.0,31.275
0,0,0,0,368,14.0,7.8542
1,1,0,0,114,29.69911764705882,13.0
0,0,1,0,257,31.0,18.0
1,0,0,0,145,29.69911764705882,7.225
0,1,0,0,103,35.0,26.0
1,1,0,0,115,34.0,13.0
1,0,0,0,237,15.0,8.0292
1,1,0,0,29,28.0,35.5
0,0,3,1,350,8.0,21.075
1,0,1,5,284,38.0,31.3875
0,1,0,0,140,29.69911764705882,7.225
1,0,0,0,242,29.69911764705882,7.8792
0,1,0,0,317,29.69911764705882,7.8958
0,1,0,0,530,40.0,27.7208
1,0,0,0,247,29.69911764705882,7.75
0,1,1,0,30,42.0,52.0
1,1,0,0,163,29.69911764705882,7.2292
0,1,0,0,459,21.0,8.05
0,0,2,0,258,18.0,18.0
1,0,1,0,147,14.0,11.2417
0,0,1,0,452,40.0,9.475
0,0,1,0,37,27.0,21.0
0,1,0,0,346,29.69911764705882,7.8958
1,0,1,2,552,3.0,41.5792
1,0,0,0,241,19.0,7.8792
0,1,0,0,537,29.69911764705882,8.05
0,1,1,0,409,29.69911764705882,15.5
1,0,0,0,51,29.69911764705882,7.75
0,1,2,0,151,29.69911764705882,21.6792
0,0,1,0,332,18.0,17.8
0,1,4,1,209,7.0,39.6875
0,1,0,0,466,21.0,7.8
1,0,1,0,199,29.0,26.0
1,1,0,0,62,29.69911764705882,35.5
1,0,0,0,497,21.0,10.5
0,1,0,0,176,28.5,7.2292
1,0,1,2,503,5.0,27.75
0,1,5,2,508,11.0,46.9
0,1,0,0,158,22.0,7.2292
0,1,3,2,292,4.0,27.9
0,1,0,0,532,29.69911764705882,27.7208
1,1,1,1,150,29.69911764705882,15.2458
1,0,0,0,495,29.0,10.5
0,1,0,0,542,19.0,8.1583
1,0,4,2,208,17.0,7.925
0,1,2,0,229,26.0,8.6625
0,1,0,0,499,32.0,10.5
0,0,5,2,508,16.0,46.9
0,1,1,0,165,26.0,14.4542
1,1,0,0,55,32.0,56.4958
0,1,0,0,302,25.0,7.65
0,1,0,0,310,29.69911764705882,7.8958
0,1,0,0,420,29.69911764705882,8.05
1,0,0,0,384,30.0,12.475
0,1,0,0,260,22.0,9.0
1,1,0,0,267,29.0,9.5
1,0,0,0,239,29.69911764705882,7.7875
0,1,0,0,21,28.0,47.1
1,0,0,0,555,17.0,10.5
1,0,3,0,207,33.0,15.85
0,1,1,3,594,16.0,34.375
0,1,0,0,570,29.69911764705882,8.05
0,1,0,0,254,24.0,8.05
0,1,0,0,255,29.0,8.05
0,1,0,0,296,20.0,7.8542
0,1,1,0,596,46.0,61.175
0,1,1,2,492,26.0,20.575
0,1,0,0,422,29.69911764705882,8.05
1,0,0,1,82,34.0,23.0
0,1,1,0,113,34.0,26.0
0,0,0,0,339,28.0,7.8958
0,1,0,0,316,29.69911764705882,7.8958
0,1,0,0,450,33.0,8.6542
0,1,2,0,205,37.0,7.925
0,1,0,0,309,28.0,7.8958
1,0,0,0,253,21.0,7.65
1,1,0,0,213,29.69911764705882,7.775
0,1,0,0,343,38.0,7.8958
1,0,1,0,416,29.69911764705882,24.15
0,1,0,0,0,47.0,52.0
0,0,1,0,154,14.5,14.4542
0,1,0,0,233,22.0,8.05
0,0,1,0,437,20.0,9.825
0,0,0,0,137,17.0,14.4583
0,1,0,0,584,21.0,7.925
0,1,1,0,37,29.0,21.0
0,1,0,0,484,29.69911764705882,8.05
0,1,1,0,96,32.5,30.0708
1,0,0,0,179,32.5,13.0
1,1,1,0,147,12.0,11.2417
0,1,0,0,410,29.69911764705882,7.75
1,1,0,0,485,24.0,7.1417
1,0,1,1,157,29.69911764705882,22.3583
0,1,0,0,273,45.0,6.975
0,1,0,0,335,33.0,7.8958
0,1,0,0,558,20.0,7.05
0,0,1,0,481,47.0,14.5
1,0,1,0,76,29.0,26.0
0,1,0,0,494,25.0,13.0
0,1,0,0,548,23.0,15.0458
1,0,0,2,39,19.0,26.2833
0,1,1,0,34,37.0,53.1
0,1,0,0,449,16.0,9.2167
0,0,0,2,164,29.69911764705882,15.2458
1,0,0,0,287,22.0,7.75
1,0,1,0,586,24.0,15.85
0,1,0,0,390,19.0,6.75
0,1,0,0,83,18.0,11.5
0,1,1,1,500,19.0,36.75
1,1,0,0,360,27.0,7.7958
0,0,2,2,594,9.0,34.375
0,1,0,2,78,36.5,26.0
0,1,0,0,110,42.0,13.0
0,1,0,0,541,51.0,12.525
0,1,0,2,482,40.5,14.5
0,1,0,0,514,29.69911764705882,7.3125
0,1,0,1,528,51.0,61.3792
1,0,0,0,371,16.0,7.7333
0,1,0,0,572,30.0,8.05
0,1,0,0,217,29.69911764705882,8.6625
0,1,0,1,417,44.0,16.1
1,0,0,0,501,40.0,15.75
0,1,0,0,278,26.0,7.775
0,1,0,0,224,17.0,8.6625
1,1,0,2,376,9.0,20.525
1,0,0,1,23,29.69911764705882,55.0
0,0,1,4,292,45.0,27.9
0,1,0,0,517,29.69911764705882,25.925
0,1,0,0,55,28.0,56.4958
0,1,4,1,427,4.0,29.125
0,1,0,0,577,21.0,7.925
0,1,1,1,367,18.0,7.8542
0,1,3,1,435,29.69911764705882,25.4667
0,0,0,0,526,50.0,28.7125
0,1,0,0,131,30.0,13.0
0,1,0,0,515,36.0,0.0
0,1,0,0,547,29.69911764705882,15.05
0,1,4,2,284,9.0,31.3875
1,0,0,2,230,4.0,22.025
0,1,0,0,25,29.69911764705882,50.0
1,0,1,0,407,29.69911764705882,15.5
1,1,0,0,7,45.0,26.55
0,1,1,1,387,40.0,15.5
0,1,0,0,341,36.0,7.8958
1,0,0,0,87,32.0,13.0
0,1,0,0,187,19.0,13.0
1,0,1,0,361,19.0,7.8542
1,1,1,1,78,3.0,26.0
1,0,0,0,533,44.0,27.7208
0,1,0,0,404,29.69911764705882,7.75
0,1,0,1,440,42.0,8.4042
1,0,0,0,408,29.69911764705882,7.75
0,0,0,0,122,24.0,13.0
0,1,0,0,262,28.0,9.5
0,1,0,0,202,34.0,6.4958
0,1,0,0,138,45.5,7.225
1,1,0,0,474,18.0,8.05
0,1,1,0,207,32.0,15.85
1,1,0,0,177,26.0,18.7875
1,0,0,0,397,16.0,7.75
1,1,0,0,13,40.0,31.0
0,1,0,0,560,24.0,7.05
1,0,0,0,511,35.0,21.0
0,1,0,0,470,22.0,7.25
0,1,0,0,125,30.0,13.0
0,1,1,0,395,29.69911764705882,7.75
1,0,0,0,588,27.0,7.925
0,1,1,0,105,42.0,27.0
0,1,0,0,597,30.0,10.5
1,1,0,0,571,16.0,8.05
0,1,0,0,71,27.0,13.0
0,1,0,0,69,51.0,8.05
0,1,0,0,330,29.69911764705882,7.8958
0,1,0,0,535,22.0,9.35
1,1,0,0,590,19.0,10.5
0,1,0,0,469,20.5,7.25
0,1,0,0,90,18.0,13.0
0,0,3,1,435,29.69911764705882,25.4667
0,1,0,0,277,29.0,7.775
1,0,4,2,284,5.0,31.3875
0,1,0,0,496,24.0,10.5
0,0,0,0,595,29.69911764705882,7.55
0,1,1,0,159,44.0,26.0
1,0,0,2,498,8.0,26.25
0,1,0,0,191,19.0,10.5
0,1,0,0,554,33.0,12.275
0,0,1,0,154,29.69911764705882,14.4542
1,0,1,0,396,29.69911764705882,15.5
0,1,0,0,592,29.0,10.5
0,1,0,0,576,22.0,7.125
0,1,0,0,174,30.0,7.225
0,0,0,0,280,25.0,7.775
1,0,0,2,128,24.0,14.5
1,1,1,1,38,37.0,52.5542
0,1,1,0,107,54.0,26.0
0,1,0,0,375,29.69911764705882,7.25
0,0,1,1,272,29.0,10.4625
0,1,1,0,480,30.0,16.1
0,0,0,2,406,41.0,20.2125
1,0,0,2,146,29.0,15.2458
1,0,0,1,80,50.0,26.0
0,1,0,0,429,29.69911764705882,7.75
1,1,4,2,284,3.0,31.3875
0,1,0,0,12,40.0,0.0
0,0,0,0,425,29.69911764705882,7.75
0,1,0,0,490,36.0,10.5
0,1,4,1,209,16.0,39.6875
1,1,1,0,289,25.0,7.775
0,1,0,0,33,29.69911764705882,31.0
1,1,0,0,515,25.0,0.0
1,0,0,1,124,41.0,19.5
0,1,0,1,527,37.0,29.7
1,0,0,0,412,29.69911764705882,7.75
0,0,0,0,281,45.0,7.75
0,1,0,0,99,29.69911764705882,0.0
0,1,4,1,427,7.0,29.125
1,0,1,1,493,35.0,20.25
0,1,0,0,295,28.0,7.8542
0,1,0,0,266,16.0,9.5
1,1,0,0,477,19.0,8.05
0,1,0,0,20,29.69911764705882,26.0
0,1,0,0,333,33.0,8.6625
1,1,0,0,264,30.0,9.5
0,1,0,0,308,22.0,7.8958
1,1,0,0,98,42.0,13.0
1,0,0,0,411,22.0,7.75
0,1,0,0,553,36.0,12.875
0,0,0,0,331,24.0,8.85
0,1,0,0,329,24.0,7.8958
0,1,0,0,534,29.69911764705882,27.7208
0,1,0,0,173,23.5,7.2292
1,1,0,0,65,29.69911764705882,30.5
1,0,0,0,458,29.69911764705882,7.75
1,1,2,0,393,29.69911764705882,23.25
0,1,0,0,515,19.0,0.0
1,0,0,0,74,29.69911764705882,12.35
0,1,0,0,471,29.69911764705882,8.05
0,1,1,0,516,30.0,24.0
1,0,0,0,523,30.0,56.9292
0,0,1,1,129,26.0,26.0
0,1,0,0,337,28.0,7.8958
0,1,1,1,512,43.0,26.25
1,0,0,0,298,26.0,7.8542
1,0,1,0,113,24.0,26.0
0,1,0,0,192,54.0,14.0
0,1,0,0,468,22.0,7.25
0,1,0,0,320,27.0,7.8958
1,0,0,0,89,30.0,12.35
1,0,1,1,120,22.0,29.0
1,0,0,0,189,36.0,13.0
1,0,1,1,376,31.0,20.525
1,0,0,1,3,16.0,57.9792
1,0,2,0,393,29.69911764705882,23.25
0,1,0,0,16,45.5,28.5
0,1,2,0,258,16.0,18.0
0,1,0,0,325,29.69911764705882,7.8958
1,1,0,0,455,45.0,8.05
0,1,0,0,27,45.0,35.5
0,1,0,0,121,28.0,13.0
0,1,0,0,112,25.0,13.0
0,1,0,0,77,36.0,13.0
1,0,0,0,119,24.0,13.0
1,0,0,0,216,40.0,13.0
1,0,1,0,430,29.69911764705882,16.1
1,1,1,1,504,3.0,15.9
0,1,0,0,221,42.0,8.6625
0,1,0,0,448,23.0,9.225
0,1,0,0,24,29.69911764705882,35.0
0,1,1,1,175,15.0,7.2292
0,1,1,0,332,25.0,17.8
0,1,0,0,143,29.69911764705882,7.225
0,1,0,0,270,28.0,9.5
1,0,0,1,23,22.0,55.0
0,0,0,0,95,38.0,13.0
1,0,0,0,238,29.69911764705882,7.8792
1,0,0,0,244,29.69911764705882,7.8792
0,1,1,4,292,40.0,27.9
0,1,1,0,551,29.0,27.7208
0,0,0,1,172,45.0,14.4542
0,1,0,0,559,35.0,7.05
0,1,1,0,407,29.69911764705882,15.5
0,1,0,0,488,30.0,7.25
1,0,0,0,136,29.69911764705882,7.2292
1,0,0,0,53,29.69911764705882,7.75
1,1,1,0,42,25.0,55.4417
0,1,1,0,204,18.0,6.4958
0,1,0,0,232,19.0,8.05
0,0,3,1,350,3.0,21.075
1,0,0,0,489,22.0,7.25
0,1,0,0,144,20.0,4.0125
0,1,0,0,279,19.0,7.775
0,1,0,0,583,32.0,7.925
1,0,1,0,30,35.0,52.0
0,1,0,0,326,29.69911764705882,7.8958
1,0,0,0,180,36.0,13.0
0,1,0,0,399,29.69911764705882,7.7292
1,0,0,0,543,17.0,12.0
1,1,0,0,356,21.0,7.7958
0,1,2,0,206,28.0,7.925
1,0,0,2,536,24.0,16.7
0,1,0,0,365,22.0,7.7958
0,0,0,0,369,31.0,7.8542
0,1,0,0,186,46.0,26.0
0,1,0,0,109,23.0,10.5
1,0,0,0,104,28.0,12.65
1,1,0,0,581,39.0,7.925
0,1,0,0,249,26.0,8.05
0,0,1,0,438,21.0,9.825
0,1,1,0,586,28.0,15.85
0,0,0,0,226,20.0,8.6625
0,1,1,0,190,34.0,21.0
