Survived,Sex,SibSp,Parch,Ticket,Age,Fare
0,male,1,0,A/5 21171,22.0,7.25
1,female,0,0,STON/O2. 3101282,26.0,7.925
1,female,1,0,113803,35.0,53.1
0,male,0,0,373450,35.0,8.05
0,male,0,0,330877,29.69911764705882,8.4583
0,male,0,0,17463,54.0,51.8625
1,female,0,2,347742,27.0,11.1333
1,female,1,0,237736,14.0,30.0708
1,female,1,1,PP 9549,4.0,16.7
0,male,0,0,A/5. 2151,20.0,8.05
0,male,1,5,347082,39.0,31.275
0,female,0,0,350406,14.0,7.8542
1,male,0,0,244373,29.69911764705882,13.0
0,female,1,0,345763,31.0,18.0
1,female,0,0,2649,29.69911764705882,7.225
0,male,0,0,239865,35.0,26.0
1,male,0,0,248698,34.0,13.0
1,female,0,0,330923,15.0,8.0292
1,male,0,0,113788,28.0,35.5
0,female,3,1,349909,8.0,21.075
1,female,1,5,347077,38.0,31.3875
0,male,0,0,2631,29.69911764705882,7.225
1,female,0,0,330959,29.69911764705882,7.8792
0,male,0,0,349216,29.69911764705882,7.8958
0,male,0,0,PC 17601,40.0,27.7208
1,female,0,0,335677,29.69911764705882,7.75
0,male,1,0,113789,42.0,52.0
1,male,0,0,2677,29.69911764705882,7.2292
0,male,0,0,A./5. 2152,21.0,8.05
0,female,2,0,345764,18.0,18.0
1,female,1,0,2651,14.0,11.2417
0,female,1,0,7546,40.0,9.475
0,female,1,0,11668,27.0,21.0
0,male,0,0,349253,29.69911764705882,7.8958
1,female,1,2,SC/Paris 2123,3.0,41.5792
1,female,0,0,330958,19.0,7.8792
0,male,0,0,S.C./A.4. 23567,29.69911764705882,8.05
0,male,1,0,370371,29.69911764705882,15.5
1,female,0,0,14311,29.69911764705882,7.75
0,male,2,0,2662,29.69911764705882,21.6792
0,female,1,0,349237,18.0,17.8
0,male,4,1,3101295,7.0,39.6875
0,male,0,0,A/4. 39886,21.0,7.8
1,female,1,0,2926,29.0,26.0
1,male,0,0,19947,29.69911764705882,35.5
1,female,0,0,C.A. 31026,21.0,10.5
0,male,0,0,2697,28.5,7.2292
1,female,1,2,C.A. 34651,5.0,27.75
0,male,5,2,CA 2144,11.0,46.9
0,male,0,0,2669,22.0,7.2292
0,male,3,2,347088,4.0,27.9
0,male,0,0,PC 17605,29.69911764705882,27.7208
1,male,1,1,2661,29.69911764705882,15.2458
1,female,0,0,C.A. 29395,29.0,10.5
0,male,0,0,S.P. 3464,19.0,8.1583
1,female,4,2,3101281,17.0,7.925
0,male,2,0,315151,26.0,8.6625
0,male,0,0,C.A. 33111,32.0,10.5
0,female,5,2,CA 2144,16.0,46.9
0,male,1,0,2680,26.0,14.4542
1,male,0,0,1601,32.0,56.4958
0,male,0,0,348123,25.0,7.65
0,male,0,0,349208,29.69911764705882,7.8958
0,male,0,0,374746,29.69911764705882,8.05
1,female,0,0,364516,30.0,12.475
0,male,0,0,345767,22.0,9.0
1,male,0,0,345779,29.0,9.5
1,female,0,0,330932,29.69911764705882,7.7875
0,male,0,0,113059,28.0,47.1
1,female,0,0,SO/C 14885,17.0,10.5
1,female,3,0,3101278,33.0,15.85
0,male,1,3,W./C. 6608,16.0,34.375
0,male,0,0,SOTON/OQ 392086,29.69911764705882,8.05
0,male,0,0,343275,24.0,8.05
0,male,0,0,343276,29.0,8.05
0,male,0,0,347466,20.0,7.8542
0,male,1,0,W.E.P. 5734,46.0,61.175
0,male,1,2,C.A. 2315,26.0,20.575
0,male,0,0,374910,29.69911764705882,8.05
1,female,0,1,231919,34.0,23.0
0,male,1,0,244367,34.0,26.0
0,female,0,0,349245,28.0,7.8958
0,male,0,0,349215,29.69911764705882,7.8958
0,male,0,0,7540,33.0,8.6542
0,male,2,0,3101276,37.0,7.925
0,male,0,0,349207,28.0,7.8958
1,female,0,0,343120,21.0,7.65
1,male,0,0,312991,29.69911764705882,7.775
0,male,0,0,349249,38.0,7.8958
1,female,1,0,371110,29.69911764705882,24.15
0,male,0,0,110465,47.0,52.0
0,female,1,0,2665,14.5,14.4542
0,male,0,0,324669,22.0,8.05
0,female,1,0,4136,20.0,9.825
0,female,0,0,2627,17.0,14.4583
0,male,0,0,STON/O 2. 3101294,21.0,7.925
0,male,1,0,11668,29.0,21.0
0,male,0,0,A4. 54510,29.69911764705882,8.05
0,male,1,0,237736,32.5,30.0708
1,female,0,0,27267,32.5,13.0
1,male,1,0,2651,12.0,11.2417
0,male,0,0,370372,29.69911764705882,7.75
1,male,0,0,C 17369,24.0,7.1417
1,female,1,1,2668,29.69911764705882,22.3583
0,male,0,0,347061,45.0,6.975
0,male,0,0,349241,33.0,7.8958
0,male,0,0,SOTON/O.Q. 3101307,20.0,7.05
0,female,1,0,A/5. 3337,47.0,14.5
1,female,1,0,228414,29.0,26.0
0,male,0,0,C.A. 29178,25.0,13.0
0,male,0,0,SC/PARIS 2133,23.0,15.0458
1,female,0,2,11752,19.0,26.2833
0,male,1,0,113803,37.0,53.1
0,male,0,0,7534,16.0,9.2167
0,female,0,2,2678,29.69911764705882,15.2458
1,female,0,0,347081,22.0,7.75
1,female,1,0,STON/O2. 3101279,24.0,15.85
0,male,0,0,365222,19.0,6.75
0,male,0,0,231945,18.0,11.5
0,male,1,1,C.A. 33112,19.0,36.75
1,male,0,0,350043,27.0,7.7958
0,female,2,2,W./C. 6608,9.0,34.375
0,male,0,2,230080,36.5,26.0
0,male,0,0,244310,42.0,13.0
0,male,0,0,S.O.P. 1166,51.0,12.525
0,male,0,2,A/5. 851,40.5,14.5
0,male,0,0,Fa 265302,29.69911764705882,7.3125
0,male,0,1,PC 17597,51.0,61.3792
1,female,0,0,35851,16.0,7.7333
0,male,0,0,SOTON/OQ 392090,30.0,8.05
0,male,0,0,315037,29.69911764705882,8.6625
0,male,0,1,371362,44.0,16.1
1,female,0,0,C.A. 33595,40.0,15.75
0,male,0,0,347068,26.0,7.775
0,male,0,0,315093,17.0,8.6625
1,male,0,2,363291,9.0,20.525
1,female,0,1,113505,29.69911764705882,55.0
0,female,1,4,347088,45.0,27.9
0,male,0,0,PC 17318,29.69911764705882,25.925
0,male,0,0,1601,28.0,56.4958
0,male,4,1,382652,4.0,29.125
0,male,0,0,STON/O 2. 3101280,21.0,7.925
0,male,1,1,350404,18.0,7.8542
0,male,3,1,4133,29.69911764705882,25.4667
0,female,0,0,PC 17595,50.0,28.7125
0,male,0,0,250653,30.0,13.0
0,male,0,0,LINE,36.0,0.0
0,male,0,0,SC/PARIS 2131,29.69911764705882,15.05
0,male,4,2,347077,9.0,31.3875
1,female,0,2,315153,4.0,22.025
0,male,0,0,113767,29.69911764705882,50.0
1,female,1,0,370365,29.69911764705882,15.5
1,male,0,0,111428,45.0,26.55
0,male,1,1,364849,40.0,15.5
0,male,0,0,349247,36.0,7.8958
1,female,0,0,234604,32.0,13.0
0,male,0,0,28424,19.0,13.0
1,female,1,0,350046,19.0,7.8542
1,male,1,1,230080,3.0,26.0
1,female,0,0,PC 17610,44.0,27.7208
0,male,0,0,368703,29.69911764705882,7.75
0,male,0,1,4579,42.0,8.4042
1,female,0,0,370370,29.69911764705882,7.75
0,female,0,0,248747,24.0,13.0
0,male,0,0,345770,28.0,9.5
0,male,0,0,3101264,34.0,6.4958
0,male,0,0,2628,45.5,7.225
1,male,0,0,A/5 3540,18.0,8.05
0,male,1,0,3101278,32.0,15.85
1,male,0,0,2699,26.0,18.7875
1,female,0,0,367231,16.0,7.75
1,male,0,0,112277,40.0,31.0
0,male,0,0,SOTON/O.Q. 3101311,24.0,7.05
