Survived,Pclass,Sex,Age,Parch,Ticket
0,3,male,22.0,0,A/5 21171
1,1,female,38.0,0,PC 17599
1,3,female,26.0,0,STON/O2. 3101282
1,1,female,35.0,0,113803
0,3,male,35.0,0,373450
0,3,male,29.69911764705882,0,330877
0,1,male,54.0,0,17463
0,3,male,2.0,1,349909
1,3,female,27.0,2,347742
1,2,female,14.0,0,237736
1,3,female,4.0,1,PP 9549
1,1,female,58.0,0,113783
0,3,male,20.0,0,A/5. 2151
0,3,male,39.0,5,347082
0,3,female,14.0,0,350406
1,2,female,55.0,0,248706
0,3,male,2.0,1,382652
1,2,male,29.69911764705882,0,244373
0,3,female,31.0,0,345763
1,3,female,29.69911764705882,0,2649
0,2,male,35.0,0,239865
1,2,male,34.0,0,248698
1,3,female,15.0,0,330923
1,1,male,28.0,0,113788
0,3,female,8.0,1,349909
1,3,female,38.0,5,347077
0,3,male,29.69911764705882,0,2631
0,1,male,19.0,2,19950
1,3,female,29.69911764705882,0,330959
0,3,male,29.69911764705882,0,349216
0,1,male,40.0,0,PC 17601
1,1,female,29.69911764705882,0,PC 17569
1,3,female,29.69911764705882,0,335677
0,2,male,66.0,0,C.A. 24579
0,1,male,28.0,0,PC 17604
0,1,male,42.0,0,113789
1,3,male,29.69911764705882,0,2677
0,3,male,21.0,0,A./5. 2152
0,3,female,18.0,0,345764
1,3,female,14.0,0,2651
0,3,female,40.0,0,7546
0,2,female,27.0,0,11668
0,3,male,29.69911764705882,0,349253
1,2,female,3.0,2,SC/Paris 2123
1,3,female,19.0,0,330958
0,3,male,29.69911764705882,0,S.C./A.4. 23567
0,3,male,29.69911764705882,0,370371
1,3,female,29.69911764705882,0,14311
0,3,male,29.69911764705882,0,2662
0,3,female,18.0,0,349237
0,3,male,7.0,1,3101295
0,3,male,21.0,0,A/4. 39886
1,1,female,49.0,0,PC 17572
1,2,female,29.0,0,2926
0,1,male,65.0,1,113509
1,1,male,29.69911764705882,0,19947
1,2,female,21.0,0,C.A. 31026
0,3,male,28.5,0,2697
1,2,female,5.0,2,C.A. 34651
0,3,male,11.0,2,CA 2144
0,3,male,22.0,0,2669
1,1,female,38.0,0,113572
0,1,male,45.0,0,36973
0,3,male,4.0,2,347088
0,1,male,29.69911764705882,0,PC 17605
1,3,male,29.69911764705882,1,2661
1,2,female,29.0,0,C.A. 29395
0,3,male,19.0,0,S.P. 3464
1,3,female,17.0,2,3101281
0,3,male,26.0,0,315151
0,2,male,32.0,0,C.A. 33111
0,3,female,16.0,2,CA 2144
0,2,male,21.0,0,S.O.C. 14879
0,3,male,26.0,0,2680
1,3,male,32.0,0,1601
0,3,male,25.0,0,348123
0,3,male,29.69911764705882,0,349208
0,3,male,29.69911764705882,0,374746
1,2,male,0.83,2,248738
1,3,female,30.0,0,364516
0,3,male,22.0,0,345767
1,3,male,29.0,0,345779
1,3,female,29.69911764705882,0,330932
0,1,male,28.0,0,113059
1,2,female,17.0,0,SO/C 14885
1,3,female,33.0,0,3101278
0,3,male,16.0,3,W./C. 6608
0,3,male,29.69911764705882,0,SOTON/OQ 392086
1,1,female,23.0,2,19950
0,3,male,24.0,0,343275
0,3,male,29.0,0,343276
0,3,male,20.0,0,347466
0,1,male,46.0,0,W.E.P. 5734
0,3,male,26.0,2,C.A. 2315
0,3,male,59.0,0,364500
0,3,male,29.69911764705882,0,374910
0,1,male,71.0,0,PC 17754
