Survived,Pclass,Sex,SibSp,Parch,Ticket,Embarked,PassengerId,Fare,Age
0,3,male,1,0,A/5 21171,S,1.0,7.25,22.0
1,3,female,0,0,STON/O2. 3101282,S,3.0,7.925,26.0
1,1,female,1,0,113803,S,4.0,53.1,35.0
0,3,male,0,0,373450,S,5.0,8.05,35.0
0,3,male,0,0,330877,Q,6.0,8.4583,29.69911764705882
1,3,female,0,2,347742,S,9.0,11.1333,27.0
1,2,female,1,0,237736,C,10.0,30.0708,14.0
0,3,male,0,0,A/5. 2151,S,13.0,8.05,20.0
0,3,male,1,5,347082,S,14.0,31.275,39.0
0,3,female,0,0,350406,S,15.0,7.8542,14.0
1,2,male,0,0,244373,S,18.0,13.0,29.69911764705882
0,3,female,1,0,345763,S,19.0,18.0,31.0
1,3,female,0,0,2649,C,20.0,7.225,29.69911764705882
0,2,male,0,0,239865,S,21.0,26.0,35.0
1,2,male,0,0,248698,S,22.0,13.0,34.0
1,3,female,0,0,330923,Q,23.0,8.0292,15.0
1,1,male,0,0,113788,S,24.0,35.5,28.0
0,3,female,3,1,349909,S,25.0,21.075,8.0
1,3,female,1,5,347077,S,26.0,31.3875,38.0
0,3,male,0,0,2631,C,27.0,7.225,29.69911764705882
1,3,female,0,0,330959,Q,29.0,7.8792,29.69911764705882
0,3,male,0,0,349216,S,30.0,7.8958,29.69911764705882
0,1,male,0,0,PC 17601,C,31.0,27.7208,40.0
1,3,female,0,0,335677,Q,33.0,7.75,29.69911764705882
0,1,male,1,0,113789,S,36.0,52.0,42.0
1,3,male,0,0,2677,C,37.0,7.2292,29.69911764705882
0,3,male,0,0,A./5. 2152,S,38.0,8.05,21.0
0,3,female,2,0,345764,S,39.0,18.0,18.0
1,3,female,1,0,2651,C,40.0,11.2417,14.0
0,3,female,1,0,7546,S,41.0,9.475,40.0
0,2,female,1,0,11668,S,42.0,21.0,27.0
0,3,male,0,0,349253,C,43.0,7.8958,29.69911764705882
1,3,female,0,0,330958,Q,45.0,7.8792,19.0
0,3,male,0,0,S.C./A.4. 23567,S,46.0,8.05,29.69911764705882
0,3,male,1,0,370371,Q,47.0,15.5,29.69911764705882
1,3,female,0,0,14311,Q,48.0,7.75,29.69911764705882
0,3,male,2,0,2662,C,49.0,21.6792,29.69911764705882
0,3,female,1,0,349237,S,50.0,17.8,18.0
0,3,male,4,1,3101295,S,51.0,39.6875,7.0
0,3,male,0,0,A/4. 39886,S,52.0,7.8,21.0
1,2,female,1,0,2926,S,54.0,26.0,29.0
1,1,male,0,0,19947,S,56.0,35.5,29.69911764705882
1,2,female,0,0,C.A. 31026,S,57.0,10.5,21.0
0,3,male,0,0,2697,C,58.0,7.2292,28.5
1,2,female,1,2,C.A. 34651,S,59.0,27.75,5.0
0,3,male,5,2,CA 2144,S,60.0,46.9,11.0
0,3,male,0,0,2669,C,61.0,7.2292,22.0
0,1,male,0,0,PC 17605,C,65.0,27.7208,29.69911764705882
1,3,male,1,1,2661,C,66.0,15.2458,29.69911764705882
1,2,female,0,0,C.A. 29395,S,67.0,10.5,29.0
0,3,male,0,0,S.P. 3464,S,68.0,8.1583,19.0
1,3,female,4,2,3101281,S,69.0,7.925,17.0
0,3,male,2,0,315151,S,70.0,8.6625,26.0
0,2,male,0,0,C.A. 33111,S,71.0,10.5,32.0
0,3,female,5,2,CA 2144,S,72.0,46.9,16.0
0,3,male,1,0,2680,C,74.0,14.4542,26.0
1,3,male,0,0,1601,S,75.0,56.4958,32.0
0,3,male,0,0,348123,S,76.0,7.65,25.0
0,3,male,0,0,349208,S,77.0,7.8958,29.69911764705882
0,3,male,0,0,374746,S,78.0,8.05,29.69911764705882
1,3,female,0,0,364516,S,80.0,12.475,30.0
0,3,male,0,0,345767,S,81.0,9.0,22.0
1,3,male,0,0,345779,S,82.0,9.5,29.0
1,3,female,0,0,330932,Q,83.0,7.7875,29.69911764705882
0,1,male,0,0,113059,S,84.0,47.1,28.0
1,2,female,0,0,SO/C 14885,S,85.0,10.5,17.0
1,3,female,3,0,3101278,S,86.0,15.85,33.0
0,3,male,1,3,W./C. 6608,S,87.0,34.375,16.0
0,3,male,0,0,SOTON/OQ 392086,S,88.0,8.05,29.69911764705882
0,3,male,0,0,343275,S,90.0,8.05,24.0
0,3,male,0,0,343276,S,91.0,8.05,29.0
0,3,male,0,0,347466,S,92.0,7.8542,20.0
0,1,male,1,0,W.E.P. 5734,S,93.0,61.175,46.0
0,3,male,1,2,C.A. 2315,S,94.0,20.575,26.0
0,3,male,0,0,374910,S,96.0,8.05,29.69911764705882
1,1,male,0,1,PC 17759,C,98.0,63.3583,23.0
1,2,female,0,1,231919,S,99.0,23.0,34.0
