Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Cabin,Embarked
0,3,male,22.0,1,0,A/5 21171,,S
1,1,female,38.0,1,0,PC 17599,C85,C
1,3,female,26.0,0,0,STON/O2. 3101282,,S
1,1,female,35.0,1,0,113803,C123,S
0,3,male,35.0,0,0,373450,,S
0,3,male,,0,0,330877,,Q
0,1,male,54.0,0,0,17463,E46,S
0,3,male,2.0,3,1,349909,,S
1,3,female,27.0,0,2,347742,,S
1,2,female,14.0,1,0,237736,,C
1,3,female,4.0,1,1,PP 9549,G6,S
1,1,female,58.0,0,0,113783,C103,S
0,3,male,20.0,0,0,A/5. 2151,,S
0,3,male,39.0,1,5,347082,,S
0,3,female,14.0,0,0,350406,,S
1,2,female,55.0,0,0,248706,,S
0,3,male,2.0,4,1,382652,,Q
1,2,male,,0,0,244373,,S
0,3,female,31.0,1,0,345763,,S
1,3,female,,0,0,2649,,C
0,2,male,35.0,0,0,239865,,S
1,2,male,34.0,0,0,248698,D56,S
1,3,female,15.0,0,0,330923,,Q
1,1,male,28.0,0,0,113788,A6,S
0,3,female,8.0,3,1,349909,,S
1,3,female,38.0,1,5,347077,,S
0,3,male,,0,0,2631,,C
0,1,male,19.0,3,2,19950,C23 C25 C27,S
1,3,female,,0,0,330959,,Q
0,3,male,,0,0,349216,,S
0,1,male,40.0,0,0,PC 17601,,C
1,1,female,,1,0,PC 17569,B78,C
1,3,female,,0,0,335677,,Q
0,2,male,66.0,0,0,C.A. 24579,,S
0,1,male,28.0,1,0,PC 17604,,C
0,1,male,42.0,1,0,113789,,S
1,3,male,,0,0,2677,,C
0,3,male,21.0,0,0,A./5. 2152,,S
0,3,female,18.0,2,0,345764,,S
1,3,female,14.0,1,0,2651,,C
0,3,female,40.0,1,0,7546,,S
0,2,female,27.0,1,0,11668,,S
0,3,male,,0,0,349253,,C
1,2,female,3.0,1,2,SC/Paris 2123,,C
1,3,female,19.0,0,0,330958,,Q
0,3,male,,0,0,S.C./A.4. 23567,,S
0,3,male,,1,0,370371,,Q
1,3,female,,0,0,14311,,Q
0,3,male,,2,0,2662,,C
0,3,female,18.0,1,0,349237,,S
0,3,male,7.0,4,1,3101295,,S
0,3,male,21.0,0,0,A/4. 39886,,S
1,1,female,49.0,1,0,PC 17572,D33,C
1,2,female,29.0,1,0,2926,,S
0,1,male,65.0,0,1,113509,B30,C
1,1,male,,0,0,19947,C52,S
1,2,female,21.0,0,0,C.A. 31026,,S
0,3,male,28.5,0,0,2697,,C
1,2,female,5.0,1,2,C.A. 34651,,S
0,3,male,11.0,5,2,CA 2144,,S
0,3,male,22.0,0,0,2669,,C
1,1,female,38.0,0,0,113572,B28,
0,1,male,45.0,1,0,36973,C83,S
0,3,male,4.0,3,2,347088,,S
0,1,male,,0,0,PC 17605,,C
1,3,male,,1,1,2661,,C
1,2,female,29.0,0,0,C.A. 29395,F33,S
0,3,male,19.0,0,0,S.P. 3464,,S
1,3,female,17.0,4,2,3101281,,S
0,3,male,26.0,2,0,315151,,S
0,2,male,32.0,0,0,C.A. 33111,,S
0,3,female,16.0,5,2,CA 2144,,S
0,2,male,21.0,0,0,S.O.C. 14879,,S
0,3,male,26.0,1,0,2680,,C
1,3,male,32.0,0,0,1601,,S
0,3,male,25.0,0,0,348123,F G73,S
0,3,male,,0,0,349208,,S
0,3,male,,0,0,374746,,S
1,2,male,0.83,0,2,248738,,S
1,3,female,30.0,0,0,364516,,S
0,3,male,22.0,0,0,345767,,S
1,3,male,29.0,0,0,345779,,S
1,3,female,,0,0,330932,,Q
0,1,male,28.0,0,0,113059,,S
1,2,female,17.0,0,0,SO/C 14885,,S
