Survived,Pclass,Sex,SibSp,Parch,Ticket,Embarked,Age,Fare
0,3,male,1,0,A/5 21171,S,22.0,7.25
1,3,female,0,0,STON/O2. 3101282,S,26.0,7.925
1,1,female,1,0,113803,S,35.0,53.1
0,3,male,0,0,373450,S,35.0,8.05
0,3,male,0,0,330877,Q,29.69911764705882,8.4583
0,1,male,0,0,17463,S,54.0,51.8625
1,3,female,0,2,347742,S,27.0,11.1333
1,2,female,1,0,237736,C,14.0,30.0708
1,3,female,1,1,PP 9549,S,4.0,16.7
0,3,male,0,0,A/5. 2151,S,20.0,8.05
0,3,male,1,5,347082,S,39.0,31.275
0,3,female,0,0,350406,S,14.0,7.8542
1,2,male,0,0,244373,S,29.69911764705882,13.0
0,3,female,1,0,345763,S,31.0,18.0
1,3,female,0,0,2649,C,29.69911764705882,7.225
0,2,male,0,0,239865,S,35.0,26.0
1,2,male,0,0,248698,S,34.0,13.0
1,3,female,0,0,330923,Q,15.0,8.0292
1,1,male,0,0,113788,S,28.0,35.5
0,3,female,3,1,349909,S,8.0,21.075
1,3,female,1,5,347077,S,38.0,31.3875
0,3,male,0,0,2631,C,29.69911764705882,7.225
1,3,female,0,0,330959,Q,29.69911764705882,7.8792
0,3,male,0,0,349216,S,29.69911764705882,7.8958
0,1,male,0,0,PC 17601,C,40.0,27.7208
1,3,female,0,0,335677,Q,29.69911764705882,7.75
0,1,male,1,0,113789,S,42.0,52.0
1,3,male,0,0,2677,C,29.69911764705882,7.2292
0,3,male,0,0,A./5. 2152,S,21.0,8.05
0,3,female,2,0,345764,S,18.0,18.0
1,3,female,1,0,2651,C,14.0,11.2417
0,3,female,1,0,7546,S,40.0,9.475
0,2,female,1,0,11668,S,27.0,21.0
0,3,male,0,0,349253,C,29.69911764705882,7.8958
1,2,female,1,2,SC/Paris 2123,C,3.0,41.5792
1,3,female,0,0,330958,Q,19.0,7.8792
0,3,male,0,0,S.C./A.4. 23567,S,29.69911764705882,8.05
0,3,male,1,0,370371,Q,29.69911764705882,15.5
1,3,female,0,0,14311,Q,29.69911764705882,7.75
0,3,male,2,0,2662,C,29.69911764705882,21.6792
0,3,female,1,0,349237,S,18.0,17.8
0,3,male,4,1,3101295,S,7.0,39.6875
0,3,male,0,0,A/4. 39886,S,21.0,7.8
1,2,female,1,0,2926,S,29.0,26.0
1,1,male,0,0,19947,S,29.69911764705882,35.5
