,0
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,0
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,0
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,1
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,0
